CandidateOrder,ModelKey,Model,Dataset,DatasetName,DatasetAvailability,AvailabilityReason,ResultStatus,ResultNote,Device,Split,InputProtocol,ClipCount,FramesUsed,PowerBackend,PublishedTop1(%),PublishedAccuracyScope,MeasuredTop1Local(%),MeasuredAccuracyScope,AccuracyDeltaLocalMinusPublished(pp),AccuracyUsedForNetScore(%),AccuracySourceForNetScore,Latency(ms/clip),AvgPower(W),Energy(J/clip),TotalTime(s),TotalEnergy(J),PeakVRAM(MiB),NS-E(1/8),NS-M(1/8),NS#(1/8),RankNS-EWithinDataset,RankNS-MWithinDataset,RankNS#WithinDataset
1,uniformer-b,UniFormer-B,k400,Kinetics-400,runnable,Candidate belongs to the exact 15-model K400-runnable roster.,measured_complete,Complete supplied device-metrics row.,RTX_3050_Laptop,local_folder_1000_seed0,single uniformly sampled full-video view,1000.0,16.0,pynvml/NVML,82.0,Canonical paper/model-zoo accuracy with its paper-specific evaluation protocol.,92.0,"Local single uniformly sampled full-video view evaluation on 1,000 clips; not canonical published accuracy.",10.0,92.0,measured,163.6,55.12,9.019,163.639,9018.96,324.0,68.66,72.28,62.39,4,2,3
2,uniformer-s,UniFormer-S,k400,Kinetics-400,runnable,Candidate belongs to the exact 15-model K400-runnable roster.,measured_complete,Complete supplied device-metrics row.,RTX_3050_Laptop,local_folder_1000_seed0,single uniformly sampled full-video view,1000.0,16.0,pynvml/NVML,80.8,Canonical paper/model-zoo accuracy with its paper-specific evaluation protocol.,92.2,"Local single uniformly sampled full-video view evaluation on 1,000 clips; not canonical published accuracy.",11.400000000000006,92.2,measured,78.9,53.31,4.207,78.916,4206.94,216.0,69.53,72.75,63.69,2,1,1
3,mvit-b-24-32x3,"MViT-B-24, 32x3",k400,Kinetics-400,runnable,Candidate belongs to the exact 15-model K400-runnable roster.,measured_complete,Complete supplied device-metrics row.,RTX_3050_Laptop,local_folder_1000_seed0,single uniformly sampled full-video view,1000.0,32.0,pynvml/NVML,80.4,Canonical paper/model-zoo accuracy with its paper-specific evaluation protocol.,90.0,"Local single uniformly sampled full-video view evaluation on 1,000 clips; not canonical published accuracy.",9.599999999999994,90.0,measured,282.9,57.64,16.306,282.888,16306.17,1050.0,67.64,70.62,60.09,10,11,11
4,mvit-v1-b,"MViT-B, 32x3",k400,Kinetics-400,runnable,Candidate belongs to the exact 15-model K400-runnable roster.,measured_complete,Complete supplied device-metrics row.,RTX_3050_Laptop,local_folder_1000_seed0,single uniformly sampled full-video view,1000.0,32.0,pynvml/NVML,80.2,Canonical paper/model-zoo accuracy with its paper-specific evaluation protocol.,90.8,"Local single uniformly sampled full-video view evaluation on 1,000 clips; not canonical published accuracy.",10.599999999999994,90.8,measured,230.6,56.17,12.955,230.638,12954.64,855.0,68.04,70.99,60.71,9,8,7
5,videoswin-t,VideoSwin-T,k400,Kinetics-400,runnable,Candidate belongs to the exact 15-model K400-runnable roster.,measured_complete,Complete supplied device-metrics row.,RTX_3050_Laptop,local_folder_1000_seed0,single uniformly sampled full-video view,1000.0,32.0,pynvml/NVML,78.8,Canonical paper/model-zoo accuracy with its paper-specific evaluation protocol.,89.7,"Local single uniformly sampled full-video view evaluation on 1,000 clips; not canonical published accuracy.",10.900000000000006,89.7,measured,186.9,56.01,10.471,186.935,10470.59,909.0,68.06,70.71,60.67,8,10,8
6,videoswin-s,VideoSwin-S,k400,Kinetics-400,runnable,Candidate belongs to the exact 15-model K400-runnable roster.,measured_complete,Complete supplied device-metrics row.,RTX_3050_Laptop,local_folder_1000_seed0,single uniformly sampled full-video view,1000.0,32.0,pynvml/NVML,80.6,Canonical paper/model-zoo accuracy with its paper-specific evaluation protocol.,93.3,"Local single uniformly sampled full-video view evaluation on 1,000 clips; not canonical published accuracy.",12.700000000000003,93.3,measured,307.0,56.04,17.204,307.016,17203.88,1106.0,68.21,71.19,60.6,7,7,10
7,videoswin-b,VideoSwin-B,k400,Kinetics-400,runnable,Candidate belongs to the exact 15-model K400-runnable roster.,measured_complete,Complete supplied device-metrics row.,RTX_3050_Laptop,local_folder_1000_seed0,single uniformly sampled full-video view,1000.0,32.0,pynvml/NVML,80.6,Canonical paper/model-zoo accuracy with its paper-specific evaluation protocol.,91.7,"Local single uniformly sampled full-video view evaluation on 1,000 clips; not canonical published accuracy.",11.100000000000009,91.7,measured,436.2,56.28,24.547,436.18,24546.78,1564.0,67.52,70.51,59.53,12,12,13
8,timesformer-b,TimeSformer-B,k400,Kinetics-400,runnable,Candidate belongs to the exact 15-model K400-runnable roster.,measured_complete,Complete supplied device-metrics row.,RTX_3050_Laptop,local_folder_1000_seed0,single uniformly sampled full-video view,1000.0,32.0,pynvml/NVML,78.0,Canonical paper/model-zoo accuracy with its paper-specific evaluation protocol.,92.7,"Local single uniformly sampled full-video view evaluation on 1,000 clips; not canonical published accuracy.",14.700000000000003,92.7,measured,170.0,55.53,9.439,169.976,9439.4,856.0,68.75,71.35,61.41,3,6,5
9,video-focalnet-t,Video-FocalNet-T,k400,Kinetics-400,runnable,Candidate belongs to the exact 15-model K400-runnable roster.,measured_complete,Complete supplied device-metrics row.,RTX_3050_Laptop,local_folder_1000_seed0,single uniformly sampled full-video view,1000.0,8.0,pynvml/NVML,79.8,Canonical paper/model-zoo accuracy with its paper-specific evaluation protocol.,95.9,"Local single uniformly sampled full-video view evaluation on 1,000 clips; not canonical published accuracy.",16.10000000000001,95.9,measured,89.5,54.03,4.838,89.548,4838.36,847.0,70.06,71.95,62.74,1,3,2
10,video-focalnet-s,Video-FocalNet-S,k400,Kinetics-400,runnable,Candidate belongs to the exact 15-model K400-runnable roster.,measured_complete,Complete supplied device-metrics row.,RTX_3050_Laptop,local_folder_1000_seed0,single uniformly sampled full-video view,1000.0,8.0,pynvml/NVML,81.4,Canonical paper/model-zoo accuracy with its paper-specific evaluation protocol.,80.7,"Local single uniformly sampled full-video view evaluation on 1,000 clips; not canonical published accuracy.",-0.7000000000000028,80.7,measured,155.3,55.16,8.567,155.31,8567.47,1138.0,66.44,68.63,58.8,15,15,14
11,video-focalnet-b,Video-FocalNet-B,k400,Kinetics-400,runnable,Candidate belongs to the exact 15-model K400-runnable roster.,measured_complete,Complete supplied device-metrics row.,RTX_3050_Laptop,local_folder_1000_seed0,single uniformly sampled full-video view,1000.0,8.0,pynvml/NVML,83.6,Canonical paper/model-zoo accuracy with its paper-specific evaluation protocol.,88.6,"Local single uniformly sampled full-video view evaluation on 1,000 clips; not canonical published accuracy.",5.0,88.6,measured,233.3,56.1,13.088,233.31,13087.76,1561.0,67.61,69.91,59.62,11,13,12
12,dualformer-t,DualFormer-T,k400,Kinetics-400,runnable,Candidate belongs to the exact 15-model K400-runnable roster.,measured_complete,Complete supplied device-metrics row.,RTX_3050_Laptop,local_folder_1000_seed0,single uniformly sampled full-video view,1000.0,32.0,pynvml/NVML,79.5,Canonical paper/model-zoo accuracy with its paper-specific evaluation protocol.,89.9,"Local single uniformly sampled full-video view evaluation on 1,000 clips; not canonical published accuracy.",10.400000000000006,89.9,measured,128.7,54.93,7.067,128.663,7066.97,819.0,68.53,70.87,61.24,5,9,6
13,omnivore-b,Omnivore-B,k400,Kinetics-400,runnable,Candidate belongs to the exact 15-model K400-runnable roster.,measured_complete,Complete supplied device-metrics row.,RTX_3050_Laptop,local_folder_1000_seed0,single uniformly sampled full-video view,1000.0,32.0,pynvml/NVML,84.0,Canonical paper/model-zoo accuracy with its paper-specific evaluation protocol.,89.8,"Local single uniformly sampled full-video view evaluation on 1,000 clips; not canonical published accuracy.",5.799999999999997,89.8,measured,605.4,58.46,35.395,605.422,35395.4,2442.0,66.76,69.66,58.29,14,14,15
14,videomae-b,VideoMAE-B,k400,Kinetics-400,runnable,Candidate belongs to the exact 15-model K400-runnable roster.,measured_complete,Complete supplied device-metrics row.,RTX_3050_Laptop,local_folder_1000_seed0,single uniformly sampled full-video view,1000.0,32.0,pynvml/NVML,80.9,Canonical paper/model-zoo accuracy with its paper-specific evaluation protocol.,91.3,"Local single uniformly sampled full-video view evaluation on 1,000 clips; not canonical published accuracy.",10.399999999999991,91.3,measured,165.0,55.86,9.214,164.952,9214.37,511.0,68.51,71.65,61.74,6,5,4
15,vtn-b,VTN-B,k400,Kinetics-400,runnable,Candidate belongs to the exact 15-model K400-runnable roster.,measured_complete,Complete supplied device-metrics row.,RTX_3050_Laptop,local_folder_1000_seed0,single uniformly sampled full-video view,1000.0,32.0,pynvml/NVML,77.72,Canonical paper/model-zoo accuracy with its paper-specific evaluation protocol.,92.0,"Local single uniformly sampled full-video view evaluation on 1,000 clips; not canonical published accuracy.",14.280000000000001,92.0,measured,461.1,57.62,26.569,461.112,26568.8,547.0,67.49,71.71,60.64,13,4,9
